Name,Etiology,Symptoms
anomalous extensor tendon,"Mechanism
symptoms arise because of increased muscle
volume
within small muscle compartment
pain from synovitis or ischemia","usually asymptomatic
discovered
incidentally
during surgery (e.g. ganglion removal)
mass
on the dorsum of the hand
intermittent dorsal wrist pain
if muscle bellies impinge on and occupy the narrow dorsal compartments of the wrist"
biceps subluxation,"Pathophysiology
most commonly associated with
subscapularis tears
most common associated pathology
disruption of the biceps sling","anterior
shoulder pain
may have sensation of clicking"
si joint infection  pediatric,"Pathophysiology
microbiology
staphylococcus aureus
is the causative organism in most of these infections
mycobacterium tuberculosis
skeletal tuberculosis accounts for 3–5 % of all tuberculosis, of which approximately 10 % occurs at the SIJ
Salmonella
seen in the setting of Sickle Cell Disease","progressive
low back and buttock pain
unable to bear weight
on affected side secondary to pain
fever"
amyotrophic lateral sclerosis als,"Pathologic features
lower motor neuron signs
loss of motor neurons within the anterior horns
of the spinal cord and motor cranial nerve nuclei
upper motor neuron signs
degeneration with l
oss of myelinating fibers in the corticospinal
and corticobulbar pathways
abnormal motor conduction, normal sensory conduction
Genetics
cause is mostly unknown
small percentage (~5%) of patients have familial form of the disease
some map to gene for superoxide dismutase on chromosome 21","painless weakness in one extremity that extends to the other extremities
fasciculations
impaired speech or swallowing
reduced head control
breathing difficulty
muscle cramping
urinary frequency or incontinence (late findings)
sensory remains normal"
cleft hand,"Pathogenesis
theory is wedge-shaped degeneration of
central part of apical ectodermal ridge (AER)
because of loss of function of certain genes expressed in that part of the AER
Types
unilateral vs bilateral
isolated vs syndromic
Forms
typical
(central) cleft hand is characterized by
also known as lobster-claw deformity
Swanson type I failure of formation
(longitudinal arrest) of central ray, leaving
V-shaped cleft
in the center of the hand
Genetics
inheritance pattern
autosomal dominant
with reduced penetrance (70%)
inherited forms become more severe with each generation
mutations
deletions, inversions, translocations of 7q
split hand-split foot syndrome
affected families should undergo
genetic counseling
Associated conditions
Ectrodactyly-ectodermal dysplasia-cleft (EEC) syndrome
sensorineural hearing loss
syndactyly and polydactyly","aesthetic limitation
functional limitation"
quadriceps tendon rupture,"Pathophysiology
mechanism
eccentric loading
of the knee extensor mechanism
often occurs when the foot is planted and knee is slightly bent
in younger patients the mechanism is usually direct trauma",pain
rib stress fracture,"Pathophysiology
pathoanatomy
repetitive contraction
stress placed on a rib during repetitive contraction of an attached muscle
accentuated during training because muscles strengthen more rapidly than bone
muscle fatigue
during prolonged activity
places a bone at  risk  for  fracture  by  lessening  the  ability  of  a  muscle  to absorb and dissipate opposing forces
anatomic sites of weakness
first rib stress fx
groove for subclavian artery is site of weakness due to superiorly  directed  forces  from  the scalene muscles and inferiorly directed forces from the serratus  anterior  and  intercostal  muscles","pain
insidious onset
worse with coughing, deep inspiration and overhead activities"
split nail deformity,"Pathophysiology
caused by scar in the germinal matrix that causes absence of nail production
can occur as a sequelae of
nail bed injuries
infections (i.e. paronychia)","common symptoms
painless
complaint is typically cosmetic in nature"
olecranon stress fracture,"Pathophysiology
mechanism of injury
three commonly accepted theories
olecranon posteriomedial impingement
triceps traction force
valgus extension overload
Associated injuries with throwing movements
ulnar collateral ligament tears
medial epicondyle avulsion fracture","posteromedial olecranon pain of the throwing arm
improves with rest
worse with throwing movements"
goldenhar syndrome,"Pathophysiology
results from an
error in the embryological development of
the ectoderm
leads to unilateral arrest or dysplastic development of
first and second branchial arches
first pharyngeal pouch
branchial cleft
Genetics
inheritance
multifactorial but usually sporadic
may have a genetic component
rarely inherited in an autosomal dominant pattern (1-2%)
Associated conditions
spine
thoracic scoliosis
defects of vertebral segmentation (cervical most common)
face
partially formed or absent ear (microtia)
benign growths around the eye (ocular desmoid cysts)
chin or mouth deviated to the affected side
cleft lip/palate
systemic
hearing defects
kidney defects
normal intelligence","facial asymmetry
hearing problems
dental underdevelopment
spinal deformity"
thromboangiitis obliterans buergers disease,"Pathophysiology
inflammation and clotting of the small vessels of hands and feet
3 phases
acute
thrombus including neutrophils and giant cells
occludes the vessel lumen while sparing the wall
subacute
progressive organization of the thrombus
chronic
inflammation has subsided
organized thrombus and vascular fibrosis remain","early disease
intermittent claudication
of feet, legs, hands or arms
numbness and/or tingling in the limbs
late disease
symptoms of critical limb ischemia
rest pain"
pustulosis palmoplantaris,"Pathophysiology
unknown
therories
activated
nicotine receptors
in the sweat glands cause an
inflammatory process
Associated conditions
orthopaedic conditions
chronic recurrent multifocal osteomyelitis
synovitis–acne–pustulosis–hyperostosis–osteomyelitis (
SAPHO
) syndrome
rare presentations of arthropathy
medical conditions & comorbidities
autoimmune diseases
gluten sensitive enteropathy (celiac disease)
thyroid disease
type 1 diabetes","pruritis, bruning sensation and occasionally pain
worsend by pressure, rubbing and friction
may have discomfort walking
significant psychologic effect"
iliotibial band friction syndrome,"Pathophysiology
mechanism of injury
iliotibial band is repetitively shifted forward and backwards across the lateral femoral condyle causing
friction, iliotibial band tensioning and inflammation
impingement zone = 30 degress of knee flexion
pathoanatomy
compression and irritation of the underlying connective tissues beneath the iliotibial band
may result in cysts or bursitis in the lateral synovial recess
may be associated with femoral condyle osseous edema
pathologic changes in the iliotibial band are
less common
Associated conditions
patellofemoral syndrome
may be due to tightness of ITB
medial compartment osteoarthritis
reduced medial joint space causes varus knee deformities
greater trochanteric pain syndrome
alters biomechanics of the ITB","pain predominantly localized over the
lateral femoral condyle
pain may be exacerbated by changes in running terrain or mileage
usually relieved with rest"
myasthenia gravis,"Pathogenesis
autoantibodies directed against a protein of the neuromuscular junction
autoantibodies can be directed against
nicotinic acetlycholine receptor (AChR)
more common
muscle-specific receptor tyrosine kinase (MuSK)
categorized as a
type II hypersensitivity reaction
T-cells play a role as well
thought to stimulate B-cell antibody production
Associated conditions
thymoma
thymic hyperplasia","general feature
fluctuating muscle weakness
most common weakness is worse with continued use
e.g., worse at the end of the day
true muscle fatigue
secondary to decreasing contractile muscle force
ocular symptoms
most common presenting symptoms
ptosis
diplopia
bulbar symptoms
dysphagia
dysarthria
fatigable chewing
proximal muscle weakness"
fetal alcohol syndrome,"Associated conditions
medical manifestations
growth disturbances (before and after birth)
central nervous system dysfunction
dysmorphic facies (wide-set eyes, thin philtrum)
orthopaedic manifestations
joint contractures
hip dislocation
congenital fusions of cervical spine
congenital fusions of upper extremity
congenital scoliosis
pectus excavatum
myelodysplasia","physical and mental disability
poor motor coordination
classic facial deformities"
synovial chondromatosis,"Mechanism
associated with
cartilage metaplasia
r
esults in
multiple intra-articular loose bodies
ranges from synovial tissue to firm nodules of cartilage
Genetics
occasional chromosome 6 abnormalities have been found","slow progression of symptoms
pain and swelling
pain worse with activity
mechanical symptoms including stiffness
can occur in the bursa overlying an osteochondroma"
plicae,"Pathophysiology
50% present with history of blunt trauma to the anterior knee
Plica
are embryologic remnant synovial folds. Most common plicae are
ligamentum mucosum
most common plica
located in the intercondylar notch
suprapatellar plica
located in the suprapatellar space, extending from the medial wall of the knee toward the lateral wall
medial plica
extends from the infrapatellar fat pad to the medial wall of the knee
most commonly irritated from the abrading the medial femoral condyle","snapping sensations
buckling
knee pain on sitting
pain with repetitive activity"
clavicle shaft fracture  pediatric,"Pathophysiology
mechanism
fall on an outstretched arm or direct trauma to lateral aspect of shoulder
birth fractures (account for 90% of obstetric fractures)
if there is no history of trauma consider congenital pseudarthrosis of clavicle (typically on right except in patients with dextrocardia)
pathoanatomy
displacing forces
medial fragment displaces posterosuperior
due to pull of the sternocleidomastoid muscle
lateral fragment displaces inferomedially
due to pull of pectoralis and weight of arm
open fractures buttonhole through platysma
Associated injuries
are rare but include
neurovascular injury
brachial plexus injury
associated topics on orthobullets
pediatric
medial clavicle physeal injury
clavicle shaft fracture - pediatric
(80%)
distal clavicle physeal injury
adolescent and adult
sternoclavicular dislocation
clavicle shaft fracture
distal third clavicle fracture",pain
multiple sclerosis,"Pathophysiology
pathophysiology
believed to be caused by a combination of genetic, environmental and infectious factors
recent research suggests a T-cell mediated autoimmune mechanism
Associated conditions
orthopaedic
increased fracture risk
relating to increased risk of falling and decreased bone mineral density
osteoporosis
relating to physical inactivity, vitamin D deficiency, immunomodulatory medication
gait abnormalities
muscle paralysis causing foot drop, etc
muscle and joint spasticity","symptoms of disease are based on the systems involved
psych
fatigue, depression, mood disorders
central nervous system
optic neuritis
, diplopia, nystagmus
ENT
dysarthria, dysphagia
MSK
weakness, loss of balance and coordination, spasms, ataxia, falls
neuro
parasthesis, hypoesthesia,
peculiar sensory phenomena's (e.g. sensation of wetness)
GI
incontinence, diarrhea, constipation
urology
incontinence, frequency, retention"
friedreichs ataxia,"Genetics
autosomal recessive
repeat mutation leads to lack of
frataxin gene
frataxin is a mitochondrial protein involved in iron metabolism and oxidative stress
mutation is GAA repeat at 9q13
Associated conditions
pes cavovarus foot
scoliosis
predictors of progression
onset of disease is less than 10 years of age
onset of scoliosis is before 15 years of age
cardiomyopathy
cardiology evaluation before surgery
antioxidants (Coenzyme Q) have been shown to decrease rate of cardiac deterioration but have no effect on ataxia","ataxia
staggering
wide based gait
(spinocerebellar)"
digital artery aneurysm,"Pathophysiology
traumatic
true aneurysm
blunt trauma
weakens the arterial wall causing it to dilate
appear more
uniform in shape
false aneurysm (e.g. pseudoaneurysm)
pentrating trauma
to arterial wall replaced by organized hematoma and fibrous wall
appear more
'sac-like' in shape
non-traumatic
inflammatory
atherosclerotic","slow-growing painful mass
many be sensory disturbance due to compression of adjacent digital nerve"
exertional compartment syndrome,"Pathophysiology
biochemistry
the local metabolism of the musculature cannot go fast enough to clear the metabolic waste products
pathoanatomy
vascular, advanced imaging, and histologic experiments have not provided clear evidence of the pathoanatomy of this condition
may have lower density of capillaries compared to asymptomatic individuals
fascial
hernias
have been identified with decompression
40% of people with exertional compartment syndrome have these facial defects, only 5% of asymptomatic people have such defects
most common location is near the intramuscular septum of the anterior and lateral compartments, where the superficial peroneal nerve exits","aching or
burning pain in leg
patients can often predict how long the pain will last for after they stop exercise
paresthesias over dorsum of foot
symptoms are
reproduced by exercise
and relieved by rest
symptoms begin ~ 10 minutes into exercise and slowly resolve ~30-40 minutes after exercise"
meniscal cysts,"Pathophysiology
mechanism of injury
meniscal tear functions as a one-way valve
synovial fluid extrudes and then concentrates to form gel-like material
pathoanatomy
horizontal and complex tears, usually = parameniscal cysts
radial or vertical tears, usually = perimeniscal cysts
Associated conditions
articular cartilage injury
anterior cruciate ligament tear","asymptomatic
pain
localized to medial/lateral joint line or back of knee
mechanical symptoms
locking and clicking
delayed or intermittent knee swelling
weakness or claudication (neaurovascular impingement)"
spinal muscular atrophy,"Pathophysiology
caused by progressive loss of
alpha-motor neurons
in
anterior horn
of spinal cord
Genetics
inheritance
autosomal recessive
mutation
survival motor neuron (SMN) gene mutation
present
in 90% of cases of SMA
a telomeric
gene deletion
SMN critical to RNA metabolism and is a mediator of apoptosis
there are two SMN genes
all patients with SMA lack SMN-I protein
severity of disease based on number of functional copies of SMN-II
Associated conditions
orthopaedic manifestations of SMA
hip dislocation and subluxation
scoliosis
lower extremity contractures","symmetric progressive weakness
that is
more profound in lower-extremity than upper extremity
more profound proximally than distally"
tka in patella baja prior hto,"Pathophysiology of acquired patella baja
common causes include
proximal tibial osteotomy
patella baja is the most common complication seen following proximal tibial opening-wedge osteotomy
may be caused by shortening of the patellar tendon during tibial osteotomy or from scarring of the patellar tendon post-operatively
tibial tubercle slide or transfer
trauma to the proximal tibia
technical error during primary total knee replacement (joint line elevation)
ACL reconstruction
Associated conditions
total knee arthroplasty
patella infera is an important consideration when performing total knee arthroplasty
improper technique may cause patella baja
special techniques must be utilized when performing TKA in patients with patella baja from congenital or acquired (tibial osteotomy, prior TKA) causes","anterior impingement knee pain
knee stiffness"
rett syndrome,"Pathophysiology
affects the grey matter of the brain
Genetics
inheritance pattern
X-linked dominant pattern
mutation
MECP2 gene mutation
this gene encodes the methyl-CpG-binding protein-2, which methylates DNA
95% de novo mutation
mutation is on male copy of X chromosome
Associated conditions
medical conditions
development delay
seizures
80% of cases
behavioral abnormalities
screaming and crying
loss of speech
gastrointestinal
constipation
orthopaedic
spasticity and joint contractures
ataxia
hypotonia
bruxism (grinding of teeth)
chorea (abnormal hand movement)
scoliosis with C-shaped curve
develops at the age of 10
occurs in more than 50% of patients
does not respond to bracing
instrumentation must include entire scoliotic and kyphotic curve","normal development for first 6-18 months of life
when symptoms present, they range widely from mild to severe including
apraxia
loss of purposeful movements in the hands
often the first sign of the disease
mental slowing (i.e. signs of dementia)
abnormal breathing
difficulty ambulating
seizures"
proximal tibia epiphyseal fractures  pediatric,"Pathophysiology
mechanism of injury
high energy trauma
varus/valgus force
hyperextension
Associated conditions
fracture
may occur as a part of a Type III tibial tubercle fracture
vascular injury
most common with hyperextension injuries
tethering of popliteal artery (5%)
peroneal nerve injury
(5%)
ligamentous injury
seen in up to 40% of Salter-Harris type III and type IV injuries
compartment syndrome (3-4%)",inability to bear weight
proximal tib fib dislocation,"Pathophysiology
mechanism
high-energy trauma
more common with horseback riding and parachuting
fall onto a
flexed and adducted knee
Associated conditions
posterior hip dislocation (flexed knee and hip)
open tibia-fibula fractures
other fractures about the knee and ankle","lateral knee pain
symptoms can mimic a lateral meniscal tear
instability"
pronator syndrome,"Pathoanatomy
5 potential sites of entrapment include
supracondylar process
residual osseous structure on distal humerus present in 1% of population
ligament of Struthers
travels from tip of supracondylar process to medial epicondyle
not to be confused with arcade of Struthers which is a site of ulnar compression neuropathy in cubital tunnel syndrome
bicipital aponeurosis (a.k.a. lacertus fibrosus)
between ulnar and humeral heads of pronator teres
considered the most common site of entrapment
FDS aponeurotic arch
Associated conditions
commonly associated with
medial epicondylitis","paresthesias in thumb, index, middle finger and radial half of ring finger as seen in carpal tunnel syndrome
in pronator syndrome paresthesias often made worse with repetitive
pronosupination
should have
characteristics differentiating from carpal tunnel syndrome (CTS)
aching pain
over proximal volar forearm
sensory disturbances over the
distribution of palmar cutaneous branch of the median nerve
(palm of hand)
arises 4 to 5 cm proximal to carpal tunnel
lack of night symptoms"
turners syndrome,"Genetics
mutation
45 XO genotype
Associated condtitions
medical
sexual infantilism
malignant hyperthermia common with anethesia
orthopaedic
cubitus valgus
idiopathic scoliosis (may be exacerbated by growth hormone therapy)
genu valgum
short 4th metacarpals
congenital hip dislocation
web neck
osteoporosis","amenorrhea
short stature
webbed neck"
hemochromatosis,"Pathophysiology
increased dietary iron absorption and/or increased iron release from cell
leading to inappropriate levels of iron into organs and tissues
Genetics
inheritance
autosomal recessive
mutations
C282Y allele
is most common","classically presents with non-specific symptoms
fatigue
lethargy
joint or muscle pain
may present with systemic symptoms
impotence
diabetes
skin hyperpigmentation"
tibial stress syndrome shin splints,"Pathophysiology
caused by a traction periostitis
anterolateral
traction periostitis of tibialis anterior on tibia and interosseous membrane
posteromedial
traction periostitis of tibialis posterior and soleus
Associated conditions
female athlete triad
critical to diagnose and treat
tibial stress fractures
females have 1.5-3.5 increased risk of progression to stress fractures","vague, diffuse pain along middle-distal tibia that
decreases
with running (early stage)
differentiate from exertional compartment syndrome, for which pain increases with running
earlier onset of pain with more frequent training (later stages)"
hip labral tear,"Pathophysiology
femoroacetabular impingement
hip dysplasia
floppy labrum more susceptible to tearing
trauma
hip dislocations/subluxations are a common cause
capsular laxity
increased translational forces across labrum due to joint hypermobility
joint degeneration
causes acetabular edge loading","mechanical hip
pain
and
snapping
may have vague groin pain
may be associated with a sensation of
locking"
sacroiliitis,"Pathophysiology
can stem from traumatic event or infection
pregnancy may lead to increased incidence in some females
often stems from chronic inflammation of SI joints
can lead to fibrosis and ossification within SI joint
Associated conditions
ankylosing spodyliitis
associated with HLA-B27
1-2% of all individuals will have HLA-B27
Reiter's syndrome
oligoarticular arthritis, conjunctivitis and urethritis
joint arthritis","pain with prolonged standing
difficulty climbing stairs
generalized low back pain
weakness from hip musculature on affected side
morning stiffness"
subcoracoid impingement,"Pathoanatomy
mechanism
position of maximal impingement is arm
adduction
,
flexion
, and
internal rotation
risk factors
patients with a
long or excessively lateral coracoid process
prior surgery that caused
posterior capsular tightening
and loss of internal rotation
Associated conditions
combined subscapularis, supraspinatus, and infraspinatus tears","pain in anterior shoulder worsened by various degrees of flexion, adduction, and rotation"
rectus femoris strain,"Pathophysiology
mechanism
sudden, forceful eccentric contraction of the muscle
sprinting from standing position
kicking soccer ball with great force
pathoanatomy
acute injuries
usually more distal on the thigh
chronic injuries
usually occur closer to the muscle origin
Associated conditions
avulsion of anterior inferior iliac spine
(AIIS)
adolescent athletes may have proximal bony avulsion of anterior inferior iliac spine (AIIS)
occurs at insertion site of direct head of rectus femoris","pain in the anterior aspect of the hip
strain or avulsion at insertion on AIIS
pain midthigh
strain in muscle fibers
pain distally
most common finding"
traumatic spondylolisthesis of axis hangmans fracture,"Mechanism
hyperextension
leads to fracture of pars
secondary flexion
tears PLL and disc allowing subluxation
Associated injuries
30% have concomitant c-spine fx",neck pain
adult respiratory distress syndrome,"Pathophysiology
acute
endothelial damage resulting from
aspiration
infection
pancreatitis
multiple blood transfusions
lung injury
sepsis or shock
major trauma
large surface area burns
fat emboli
thromboembolism
multi-system organ failure
pathoanatomy
injury cascade leads to
non-cardiogenic pulmonary edema
respiratory distress
refractory hypoxemia
decreased lung compliance","acute onset (12-48 hours) of
dyspnea
fever
mottled or cyanotic skin"
tka metal hypersensitivity,"Pathophysiology
Type IV - delayed-type cell mediated hypersensitivity
mediated by T cells
reaction to
nickel
found in cobalt-chromium alloys
metal ions
deposit in local tissue, must react with proteins to initiate hypersensitivity
biggest link may be metal ions/hypersensitivity as a causative initiator of early implant loosening","vague persistent pain
persistent, unremitting effusion/swelling
stiffness"
syndactyly of the toes,"Pathophysiology
cellular biology
due to incomplete or absent apoptosis during gestation
Genetics
inheritance pattern
most are autosomal dominant
Associated conditions
Familial Syndactyly
Down`s Syndrome
Klippel-Feil Syndrome
Smith-Lemli-Opitz Syndrome",usually painless with cosmetic concerns only
bladder exstrophy,"Pathology
abnormal anterior rupture of the
cloacal membrane
early in the embryonic period
mesenchymal ingrowth into the abdominal wall is also inhibited
altered migration of sclerotomes
that comprise the anterior elements (pubis)
Associated conditions
family history should be sought out as often associated with other conditions","a thorough history and a complete examination are essential
urinary system infection(s)"
chondromyxoid fibroma,"Pathophysiology
may arise from physeal remnants
Genetics
mutations
a genetic rearrangement may affect
chromosome 6
(
postion q13)",pain and mild swelling
pleomorphic sarcoma of bone malignant fibrous histiocytoma,"Genetics
mutations of the tumor suppressor gene p53 have been implicated in tumorgenesis of secondary MFH of bone","pain
constitutional symptoms
fevers, chills, night sweats and weight loss"
humeral avulsion glenohumeral ligament hagl,"Pathophysiology
mechanism of injury
hyperabduction and external rotation is the main mechanism
diving, Football, Basketball, Volleyball, Surfing, skiing, MVC
Associated conditions
orthopedic conditions
labral tears - 25%
rotator Cuff tears - 23%
Hill-Sachs Deformity - 17%
bony Bankart","severe persistent pain after instability event
recurrent instability"
mcp joint arthritis,"Pathophysiology
trauma
intra-articular fractures without anatomic reduction leading to incongruent joint space
rheumatoid and inflammatory arthritides
joint destruction and cartilage loss
cell biology
rheumatoid arthritis (RA)
egress of
neutrophils
which migrate to synovial fluid and produce proteases and reactive oxygen species causing cartilage destruction
diffuse, polyarticular
synovial
hypertrophy
that results in capsular and ligamentous laxity, degenerative arthritis, and tendon rupture
Gout
deposition of
monosodium urate crystals
triggers an increase in IL-1
β and IL-1 receptor activation leading to transcription of pro-inflammatory cytokines driving joint destruction
Calcium Pyrophosphate Deposition Disease (CPPD)
deposition of
calcium pyrophosphate
within the synovium which up-regulates the inflammatory cascade
Systemic Lupus Erythematosus (SLE)
significant up-regulation of pro-inflammatory
interferon-inducible genes
which down-regulate extracellular matrix homeostasis leading to decreased tissue repair and increased cartilage destruction
Hemochromatosis
intra-articular
iron
deposition increases IL-1 receptor activity leading to up-regulation of the inflammatory cascade and subsequent joint destruction","common symptoms of OA
pain
deformity
common symptoms of inflammatory arthritis
intermittent inflammatory episodes
waxing and waning clinical course
other joint involvement"
reiters syndrome,"Diagnostic criteria
urethritis
conjunctivitis or uveitis
arthritis
Pathophysiology
associated infections
mycoplasma
yersinia
salmonella
shigella
chlamydia
campylobacter
Genetics
may be genetic component making certain individuals more susceptible","urinary discomfort or pain
usually appears within days or weeks of infection
inflammation or dryness of the eye
joint pain
may develop within weeks of initial infection and urinary symptoms
other non-specific pain symptoms including
heel pain (Achilles tendon pain)
low back pain"
metatarsus adductus,"Mechanism
thought to be related to packaging disorder caused by intra-uterine positioning","parents complain of intoeing, usually in first year of life"
ulnar styloid impaction syndrome,"Pathophysiology
pathoanatomy
impaction between ulnar styloid tip and triquetrum that is seen in patients with excessively long ulnar styloids or ulna positive wrists
Associated conditions
radial malunion
congenitally short radius
premature radial physeal closure","ulnar side wrist pain
pain with pronation or grip"
scapulothoracic dissociation,"Mechanism
usually caused by a
lateral traction injury
to the shoulder girdle
involves significant trauma to heart, chest wall and lungs
Associated conditions
orthopaedic
scapula fractures
clavicle fractures
AC dislocation/separation
sternoclavicular dislocation
flail extremity
(52%)
complete loss of motor and sensory function rendering the extremity non-functional
vascular injury
subclavian artery
most commonly injured
axillary artery
neurologic injury (up to 90%)
ipsilateral brachial plexus injury (often complete)
neurologic injuries more common than vascular injuries","pain in involved upper extremity (UE)
numbness/tingling in involved UE"
trochanteric bursitis,"Pathophysiology
pathoanatomy
repetitive trauma caused by
iliotibial band tracking over trochanteric bursa
can irritate the bursa causing inflammation","lateral sided
hip pain
, although hip joint is not involved"
triangular fibrocartilage complex tfcc injury,"Mechanism of TFCC injury
Type 1 traumatic injury
mechanism
most common is fall on
extended wrist with forearm pronation
traction injury to ulnar side of wrist
traction injury to ulnar wrist
Type 2 degenerative injury
associated with
positive ulnar variance
associated with ulnocarpal impaction","wrist pain
turning a door key often painful"
atypical mycobacterium infections,"Pathophysiology
incubation
average incubation period is two weeks, but can be up to six months
average time to diagnosis and appropriate treatment is more than 1 year
organisms
widely encountered in the environment, but rarely cause human pathology
M. marinum
most common atypical mycobacterium infection
more common in stagnant fresh or salt water (aquariums)
M kansasii
found in soil
M terrae
found in soil
M. avium intracellulare
most common in terminal AIDS patients, but can occur in non-HIV patients",cutaneous rash with discomfort
wound and hardware infection,"Pathophysiology
mechanisms
seeding
disruption of soft tissue envelope, blood vessels, and periosteum allow bacteria to avoid host defenses
direct seeding of implant and/or anatomical structure
hematogenous seeding
biofilm formation
dependent on exopolysaccharide glycocalyx","pain at previous fracture site
may indicate infected non-union
fevers, chills, and night sweats may be present"
spine surgical site infections,"Pathophysiology
pathophysiology
instrumentation
the use of instrumentation has an important role in the development of postoperative infections
can cause local soft tissue irritation leading to inflammation and seroma formation that subsequently provides a fertile breeding ground for microorganisms to grow
adherence of bacteria to the surface of implants is promoted by a polysaccharide biofilm called glycocalyx that acts as barrier against host defense mechanisms and antibiotics
metallosis from micromotion of the instrumentation leads to granuloma formation and provides yet another medium for bacterial colonization
microbiology
staphylococcus aureus
73%
most frequent microorganism found in spinal SSI is Staphylococcus aureus
5-18% can me
methicillin resistant
staphylococcus aureus (MRSA)
staphylococcus epidermidis
increasing frequency in postoperative infections
enterococcus coli & enterococcus faecalis
patients with incontinence / faecal contamination
propio acnes (low virulence microorganisms)
patients with compromised immune system could present with surgical wound infected by low virulence microorganisms
late hardware infection
gram-negative rods
generally uncommon cause of SSI
trauma patients
severe neurologic injury
those in an immunocompromised state (injury severity score >18)
higher incidence seen with neuromuscular scoliosis patients (cerebral palsy, Duchenne's muscular dystrophy, etc.)
higher risk of soiling wound due to poor bowel and bladder control compounded with lack of baseline mobility
polymicrobial
almost exclusivley a result of direct wound contamination during the post-operative period
fecal or urinary contamination of the wound in neuromuscular patients","wound drainage
most common presentation
increasing pain
increase with time
post-op pain should improve with time
constitutional symptoms
fever
is the most common generalized finding with infection
temperature >39°C is worrisome for a bacterial deep wound infection
generalized sepsis
generalized malaise
lethargy
confusion
hypotension
organ failure is an indication for emergent surgical débridement
condition usually presents as generalized malaise, lethargy, and even confusion"
psoas abscess  pediatric,"Pathophysiology
may spread to hip joint
causing septic arthritis because of
indirect passage via psoas bursa
lies between hip joint and psoas
connects psoas directly to hip joint in 15%
of cadavers
direct passage between the iliofemoral and iliopubic ligaments
Microbiology
Staph aureus
most common organism
Associated conditions
septic hip - pediatric
tuberculous spondylitis","presents like hip septic arthritis
fever
hip pain
limp or refusal to bear weight"
equinovarus foot,"Pathophysiology
pathomechanics
imabalance of invertors and evertors (
invertors overpower the evertors
)
relative overpull of
tibialis posterior and/or
tibialis anterior
gastoc-soleus complex
example: in cerebral palsy
the causative muscles for the varus are the
anterior tibialis
(AT) in 1/3 of patients
posterior tibialis
(PT) in 1/3 and
both the AT and PT in the remaining 1/3
foot deformity muscle imbalance overview","pain
painful weight bearing over the
lateral border of the foot
instability
during stance phase
results in
shortened single limb stance
poor shoe and/or brace fitting and shoe wear problems"
acute rheumatic fever,"Pathophysiology
molecular biology
autoimmune reaction within 1-4 weeks following
G
roup A beta-hemolytic
Streptococcus pyogenes pharyngitis
molecular mimicry
antibodies to M protein of GAS causing an inflammatory response to synovium, myocardium, and basal ganglia cells","rash
joint pain and refusal to bear weight"
vertebral artery injury,"Pathophysiology
blunt traumatic injury
pathoanatomy
highest injury risk at point of entry into C6 transverse foramen
second highest risk at C1-2 articulation
iatrogenic injury during elective surgery
safe zone
C1: avoid dissection cephalad to the C1 posterior arch >1.5 cm lateral to midline
C1 lateral mass screw should be placed in a 10
°
medial and 22
°
cephalad trajectory","variable in presentation and time of onset
vertebrobasilar insufficiency manifests with:
dizziness
vertigo
nausea
diplopia
blindness
ataxia
bilateral weakness
oropharyngeal dysfunction"
quadriceps tendonitis,"Pathophysiology
mechanism of injury
occurs as the result of repetitive eccentric contractions of the extensor mechanism
pathoanatomy
microtears of the tendon most commonly at the bone-tendon interface
Associated conditions
Jumper's knee
patellar tendonitis
more commonly affects the insertion of the patella tendon at the patella.
less commonly the insertion at the tibial tubercle
Quadriceps tendinosis
chronic quad tendon degeneration with no inflammation","pain localized to the
superior borde
r of patella
worse with activity
associated swelling"
idiopathic transient osteoporosis of the hip itoh,"Pathogenesis
local hyperemia and impaired venous return with marrow edema and increased intramedullary pressure
also referred to as
bone marrow edema syndrome
regional migratory osteoporosis
migratory osteolysis","progressive, atraumatic hip and groin pain over several weeks
may be unable to bear weight"
lumbrical plus finger,"Pathophysiology
mechanism
FDP disruption distal to the origin of the lumbicals
(most common)
can be due to
FDP transection
FDP avulsion
DIP amputation
amputation through middle phalanx shaft
""too long"" tendon graft
pathoanatomy
lumbricals originate from FDP
with FDP laceration, FDP contraction leads to pull on lumbricals
lumbricals pull on lateral bands leading to PIP and DIP extension of involved digit
with the middle finger, when the FDP is cut distally, the FDP shifts ulnarly (because of the pull of the 3rd lumbrical origin)(bipennate)
this leads to tightening of the middle finger lumbrical (2nd lumbrical, unipennate), and amplifies the ""lumbrical plus"" effect","notices that when attempting to grip an object or form a fist, 1 digit sticks out or gets caught on clothes"
chronic recurrent multifocal osteomyelitis crmo,"Pathophysiology
poorly understood
Criteria
multiple sites of apparent osteomyelitis
pathology and cultures are negative
no response to antibiotics
Associated conditions
Pustulosis palmoplantaris syndrome
a rare chronic relapsing condition causing
red patches and pustules on the soles of the feet and palms of the hands
considered a
rheumatologic condition
and no infectious agents have been identified
following the outbreak of the lesions,
desquamation occurs several days
later
associated with
CRMO
SAPHO Syndrome
CRMO associated with: synovitis, acne, pustulosis, hypersotosis, osteitis","episodic fever
malaise
localized pain, swelling"
thumb cmc dislocation,"Pathophysiology
mechanism
axial force on a flexed thumb (more common)
dorsal force applied in 1
st
web space (e.g. handlebar driven into a motorcyclist’s thumb on impact) (less common)
pathoanatomy
dorsoradial ligament is torn
anterior oblique ligament is stripped/peeled off the 1
st
metacarpal base but remains continuous",pain over thenar eminence
